"ZODIAC","FIVEELEMENTS","MOON","LOAN"
"Gemini","Wood",0.25,"NO"
"Libra","Fire",1,"YES"
"Aries","Wood",0.25,"NO"
"Virgo","Wood",0.75,"YES"
"Aries","Fire",0.25,"NO"
"Gemini","Wood",0.25,"YES"
"Sagittarius","Fire",0.5,"YES"
"Aquarius","Fire",0.5,"YES"
"Taurus","Fire",0,"YES"
"Scorpio","Earth",0.5,"NO"
"Aries","Metal",0.5,"NO"
"Aries","Wood",0.5,"NO"
"Libra","Fire",0.25,"YES"
"Gemini","Water",0.25,"NO"
"Taurus","Metal",0.75,"YES"
"Taurus","Earth",0,"NO"
"Libra","Earth",1,"YES"
"Gemini","Wood",0,"YES"
"Capricorn","Fire",0,"YES"
"Libra","Water",0.75,"YES"
"Sagittarius","Metal",0.5,"YES"
"Aquarius","Water",0,"NO"
"Aries","Fire",0.25,"YES"
"Libra","Metal",1,"YES"
"Scorpio","Metal",0.75,"YES"
"Taurus","Metal",0.25,"NO"
"Leo","Earth",0.5,"NO"
"Virgo","Water",0.5,"NO"
"Cancer","Earth",0.5,"NO"
"Virgo","Earth",1,"YES"
"Capricorn","Wood",0,"YES"
"Aquarius","Fire",0.75,"YES"
"Gemini","Wood",1,"YES"
"Capricorn","Water",0.25,"YES"
"Leo","Wood",0,"NO"
"Aries","Earth",0,"NO"
"Leo","Wood",1,"YES"
"Virgo","Fire",0.75,"YES"
"Libra","Metal",0,"NO"
"Virgo","Fire",0.75,"YES"
"Libra","Fire",1,"YES"
"Capricorn","Metal",1,"YES"
"Scorpio","Fire",0,"YES"
"Virgo","Earth",0,"YES"
"Aries","Metal",0.25,"NO"
"Taurus","Metal",0,"YES"
"Cancer","Wood",0.5,"NO"
"Virgo","Metal",0.25,"YES"
"Scorpio","Metal",0.5,"NO"
"Virgo","Fire",1,"YES"
"Cancer","Earth",0,"YES"
"Pisces","Earth",0.75,"YES"
"Taurus","Water",0.25,"YES"
"Leo","Metal",0.25,"NO"
"Taurus","Fire",0.75,"YES"
"Leo","Earth",1,"YES"
"Libra","Water",0.25,"YES"
"Virgo","Water",0,"NO"
"Pisces","Metal",0.25,"YES"
"Sagittarius","Water",0.75,"YES"
"Aries","Metal",0.25,"YES"
"Aquarius","Fire",0.5,"YES"
"Libra","Water",0.75,"YES"
"Pisces","Wood",0,"NO"
"Leo","Wood",0,"YES"
"Aries","Wood",0,"NO"
"Pisces","Metal",0.5,"NO"
"Aries","Fire",0,"NO"
"Pisces","Fire",0.25,"YES"
"Capricorn","Metal",1,"YES"
"Virgo","Fire",0.25,"YES"
"Pisces","Metal",0.75,"YES"
"Gemini","Wood",0.75,"YES"
"Virgo","Metal",1,"YES"
"Leo","Metal",0.75,"YES"
"Aquarius","Water",0.5,"YES"
"Virgo","Water",0.25,"YES"
"Leo","Wood",0.25,"YES"
"Aquarius","Fire",1,"YES"
"Sagittarius","Water",0.75,"YES"
"Leo","Earth",0,"NO"
"Scorpio","Fire",1,"YES"
"Taurus","Fire",0.25,"YES"
"Aquarius","Earth",1,"YES"
"Capricorn","Earth",0.75,"YES"
"Virgo","Earth",0.5,"YES"
"Cancer","Fire",0.25,"YES"
"Aries","Wood",0,"YES"
"Aquarius","Metal",0.5,"YES"
"Sagittarius","Water",0.5,"NO"
"Cancer","Metal",0,"YES"
"Aries","Water",0.25,"NO"
"Leo","Earth",0,"NO"
"Virgo","Wood",0,"YES"
"Aquarius","Fire",0.5,"YES"
"Libra","Fire",0.5,"YES"
"Virgo","Fire",0.25,"YES"
"Leo","Wood",1,"YES"
"Aquarius","Water",1,"YES"
"Capricorn","Wood",0.75,"YES"
"Aquarius","Fire",0.25,"YES"
"Gemini","Earth",0.25,"NO"
"Pisces","Water",0,"YES"
"Libra","Wood",1,"YES"
"Sagittarius","Water",0.75,"YES"
"Gemini","Metal",0.5,"YES"
"Aquarius","Water",0,"NO"
"Scorpio","Wood",0.25,"NO"
"Aries","Wood",0,"NO"
"Sagittarius","Metal",0,"NO"
"Capricorn","Wood",1,"YES"
"Sagittarius","Fire",0.75,"YES"
"Libra","Earth",0.75,"YES"
"Taurus","Fire",0.75,"YES"
"Libra","Wood",0.75,"YES"
"Scorpio","Metal",0.25,"NO"
"Virgo","Fire",0.5,"YES"
"Libra","Wood",0.75,"YES"
"Aquarius","Fire",0,"YES"
"Cancer","Fire",0.75,"YES"
"Aries","Metal",0.75,"NO"
"Aries","Wood",0.25,"NO"
"Aquarius","Earth",0.5,"YES"
"Aries","Fire",0.5,"YES"
"Libra","Earth",0.75,"YES"
"Libra","Water",1,"YES"
"Taurus","Earth",0,"YES"
"Pisces","Earth",0.75,"YES"
"Leo","Wood",0,"NO"
"Gemini","Metal",0.5,"NO"
"Cancer","Earth",1,"YES"
"Libra","Wood",1,"YES"
"Capricorn","Metal",0,"YES"
"Scorpio","Wood",0,"YES"
"Gemini","Earth",1,"YES"
"Sagittarius","Earth",0.25,"YES"
"Scorpio","Fire",0.5,"YES"
"Aries","Earth",0.5,"NO"
"Libra","Earth",0.25,"NO"
"Taurus","Wood",1,"YES"
"Leo","Metal",0,"NO"
"Virgo","Fire",0.75,"YES"
"Leo","Water",1,"YES"
"Pisces","Fire",1,"YES"
"Cancer","Metal",0.5,"NO"
"Virgo","Water",0.75,"YES"
"Leo","Earth",1,"YES"
"Gemini","Fire",1,"YES"
"Sagittarius","Earth",0,"YES"
"Capricorn","Water",0.25,"NO"
"Taurus","Wood",0,"YES"
"Leo","Fire",1,"YES"
"Gemini","Fire",0.25,"YES"
"Gemini","Water",0.75,"YES"
"Cancer","Earth",1,"YES"
"Aquarius","Water",0,"YES"
"Libra","Fire",0,"YES"
"Gemini","Metal",0.75,"YES"
"Capricorn","Wood",0.75,"YES"
"Scorpio","Water",0.25,"YES"
"Cancer","Earth",0.25,"YES"
"Cancer","Wood",0.75,"YES"
"Scorpio","Water",0,"NO"
"Aquarius","Metal",0.5,"NO"
"Capricorn","Fire",0.25,"YES"
"Aquarius","Earth",0.25,"YES"
"Cancer","Metal",0.5,"YES"
"Libra","Fire",0.75,"YES"
"Cancer","Wood",0.5,"NO"
"Virgo","Fire",0.25,"YES"
"Capricorn","Fire",0.5,"YES"
"Gemini","Water",0,"YES"
"Capricorn","Wood",0.25,"YES"
"Pisces","Wood",0.75,"YES"
"Gemini","Wood",0.5,"YES"
"Sagittarius","Water",0.5,"NO"
"Pisces","Earth",0.25,"NO"
"Sagittarius","Fire",0,"YES"
"Leo","Water",0.25,"YES"
"Taurus","Metal",0,"YES"
"Scorpio","Earth",0.25,"NO"
"Aries","Earth",0.25,"YES"
"Taurus","Water",0.75,"YES"
"Cancer","Earth",0.25,"NO"
"Scorpio","Earth",0.75,"YES"
"Scorpio","Wood",0.75,"YES"
"Cancer","Earth",0,"YES"
"Pisces","Fire",0.75,"YES"
"Cancer","Fire",0.75,"YES"
"Pisces","Earth",0.25,"NO"
"Aries","Wood",0.25,"NO"
"Virgo","Wood",0.75,"YES"
"Gemini","Wood",0,"YES"
"Capricorn","Wood",0.75,"YES"
"Capricorn","Metal",0.5,"YES"
"Scorpio","Water",1,"YES"
"Libra","Water",0.25,"YES"
"Capricorn","Metal",1,"YES"
"Scorpio","Fire",0.5,"YES"
"Sagittarius","Earth",0.5,"NO"
"Gemini","Water",0.75,"YES"
"Sagittarius","Wood",0.25,"NO"
"Taurus","Earth",0.25,"NO"
"Scorpio","Wood",1,"YES"
"Aries","Water",0.75,"NO"
"Aries","Earth",0,"YES"
"Capricorn","Fire",0.75,"YES"
"Aries","Water",0.25,"NO"
"Virgo","Earth",0.25,"NO"
"Cancer","Wood",0.25,"NO"
"Sagittarius","Earth",1,"YES"
"Virgo","Metal",1,"YES"
"Gemini","Wood",0.75,"YES"
"Virgo","Earth",0.75,"YES"
"Pisces","Water",0.75,"YES"
"Leo","Water",0.75,"YES"
"Gemini","Wood",1,"YES"
"Taurus","Water",0,"YES"
"Virgo","Wood",0.5,"YES"
"Gemini","Metal",0.25,"YES"
"Virgo","Metal",0.25,"YES"
"Leo","Metal",0.25,"YES"
"Libra","Wood",0.75,"YES"
"Gemini","Earth",0.5,"YES"
"Gemini","Earth",0.25,"NO"
"Cancer","Fire",1,"YES"
"Leo","Water",0,"YES"
"Sagittarius","Earth",0.75,"YES"
"Sagittarius","Wood",0.5,"YES"
"Libra","Wood",0,"YES"
"Scorpio","Metal",0.5,"NO"
"Aries","Fire",1,"YES"
"Scorpio","Metal",0.75,"YES"
"Aries","Water",0,"NO"
"Aquarius","Wood",1,"YES"
"Cancer","Water",0,"NO"
"Capricorn","Metal",0.5,"YES"
"Aquarius","Water",0,"YES"
"Capricorn","Earth",0,"YES"
"Gemini","Water",0,"YES"
"Pisces","Water",0,"YES"
"Cancer","Water",0.5,"YES"
"Scorpio","Earth",0.75,"YES"
"Virgo","Metal",0.75,"YES"
"Aries","Wood",0,"NO"
"Virgo","Water",0,"NO"
"Virgo","Metal",0.25,"YES"
"Scorpio","Wood",0.75,"YES"
"Aquarius","Metal",0.5,"YES"
"Scorpio","Earth",0.25,"NO"
"Taurus","Fire",0.25,"YES"
"Capricorn","Water",0.75,"YES"
"Scorpio","Earth",0,"YES"
"Scorpio","Water",0.75,"YES"
"Pisces","Earth",0,"YES"
"Cancer","Water",0,"NO"
"Leo","Wood",0.5,"YES"
"Cancer","Wood",0.5,"YES"
"Capricorn","Water",0.5,"NO"
"Aries","Wood",0.75,"NO"
"Leo","Metal",0.25,"NO"
"Capricorn","Earth",0.25,"YES"
"Cancer","Water",0,"YES"
"Virgo","Earth",0.25,"YES"
"Leo","Water",1,"YES"
"Pisces","Wood",0.75,"YES"
"Pisces","Earth",0.25,"NO"
"Aries","Fire",0.25,"NO"
"Scorpio","Earth",0.5,"NO"
"Aquarius","Fire",0.75,"YES"
"Taurus","Water",0.5,"YES"
"Gemini","Fire",0.25,"YES"
"Sagittarius","Earth",0.5,"YES"
"Taurus","Water",0,"NO"
"Cancer","Metal",0,"NO"
"Gemini","Earth",1,"YES"
"Aries","Metal",0.75,"NO"
"Cancer","Metal",0.5,"NO"
"Aquarius","Wood",0.75,"YES"
"Cancer","Water",0.75,"YES"
"Aries","Fire",1,"NO"
"Gemini","Water",0.5,"NO"
"Pisces","Metal",0.75,"YES"
"Sagittarius","Metal",0.25,"YES"
"Leo","Fire",1,"YES"
"Sagittarius","Water",0.75,"YES"
"Virgo","Earth",0.75,"YES"
"Gemini","Earth",1,"YES"
"Libra","Wood",0,"YES"
"Libra","Wood",0.75,"YES"
"Libra","Water",0.5,"YES"
"Taurus","Metal",0,"NO"
"Scorpio","Water",0.75,"YES"
"Gemini","Metal",0.75,"YES"
"Capricorn","Earth",0.5,"YES"
"Leo","Metal",0,"NO"
"Cancer","Metal",0,"NO"
"Gemini","Earth",0.5,"YES"
"Libra","Earth",0.75,"YES"
"Leo","Metal",0.5,"NO"
"Pisces","Water",0.75,"YES"
"Gemini","Earth",0.5,"NO"
"Pisces","Earth",0.75,"YES"
"Pisces","Wood",1,"YES"
"Aries","Earth",0.25,"NO"
"Scorpio","Metal",0.25,"NO"
"Gemini","Earth",0.5,"NO"
"Sagittarius","Earth",1,"YES"
"Leo","Wood",0.5,"YES"
"Capricorn","Metal",0.5,"YES"
"Capricorn","Earth",0.75,"YES"
"Leo","Earth",0.25,"YES"
"Sagittarius","Earth",1,"YES"
"Taurus","Fire",0.5,"YES"
"Capricorn","Fire",0.25,"YES"
"Capricorn","Metal",0.25,"YES"
"Gemini","Wood",0.75,"YES"
"Taurus","Fire",1,"YES"
"Capricorn","Metal",1,"YES"
"Taurus","Wood",1,"YES"
"Taurus","Earth",0.25,"YES"
"Aquarius","Wood",0.5,"YES"
"Pisces","Fire",0.25,"YES"
"Libra","Water",0.25,"YES"
"Libra","Fire",0.5,"YES"
"Libra","Fire",0.5,"YES"
"Libra","Metal",1,"YES"
"Scorpio","Metal",0.25,"YES"
"Libra","Wood",0,"YES"
"Leo","Wood",0.5,"YES"
"Gemini","Metal",0,"NO"
"Taurus","Metal",1,"YES"
"Virgo","Metal",0,"NO"
"Leo","Metal",0.25,"YES"
"Pisces","Water",0.75,"YES"
"Capricorn","Wood",0.75,"YES"
"Virgo","Earth",0.5,"NO"
"Scorpio","Wood",0.75,"YES"
"Leo","Earth",1,"YES"
"Pisces","Earth",0.75,"YES"
"Virgo","Earth",0.25,"NO"
"Cancer","Wood",1,"YES"
"Aries","Water",1,"NO"
"Aquarius","Fire",1,"YES"
"Scorpio","Metal",1,"YES"
"Virgo","Water",0.75,"YES"
"Libra","Earth",1,"YES"
"Capricorn","Metal",1,"YES"
"Capricorn","Water",0,"NO"
"Leo","Fire",0,"YES"
"Aries","Fire",0,"NO"
"Leo","Earth",0.5,"YES"
"Gemini","Fire",1,"YES"
"Taurus","Earth",0.5,"NO"
"Scorpio","Fire",1,"YES"
"Cancer","Metal",0.5,"YES"
"Leo","Wood",0.5,"YES"
"Sagittarius","Water",0.75,"YES"
"Cancer","Wood",0,"YES"
"Pisces","Metal",1,"YES"
"Virgo","Earth",0.25,"NO"
"Pisces","Metal",0.5,"NO"
"Cancer","Earth",1,"YES"
"Taurus","Water",0.75,"YES"
"Taurus","Fire",0.75,"YES"
"Taurus","Earth",1,"YES"
"Gemini","Fire",0.25,"YES"
"Cancer","Earth",0,"YES"
"Aries","Water",0.5,"NO"
"Gemini","Fire",1,"YES"
"Aquarius","Earth",0.25,"NO"
"Gemini","Earth",0.5,"YES"
"Scorpio","Earth",0.5,"YES"
"Scorpio","Metal",0.25,"YES"
"Aquarius","Wood",0.5,"NO"
"Aries","Metal",0,"YES"
"Pisces","Metal",0.5,"NO"
"Scorpio","Metal",0.75,"YES"
"Aries","Water",1,"NO"
"Scorpio","Metal",0.5,"NO"
"Pisces","Water",1,"YES"
"Libra","Metal",0.25,"YES"
"Aries","Fire",0,"NO"
"Taurus","Earth",0.25,"YES"
"Leo","Metal",0.25,"NO"
"Leo","Wood",0,"YES"
"Gemini","Metal",0.5,"YES"
"Scorpio","Water",0.5,"YES"
"Pisces","Metal",0.5,"YES"
"Virgo","Earth",1,"YES"
"Sagittarius","Metal",1,"YES"
"Sagittarius","Fire",0.5,"YES"
"Aries","Water",1,"NO"
"Aquarius","Fire",0,"YES"
"Pisces","Metal",1,"YES"
"Cancer","Earth",0,"NO"
"Libra","Wood",0.5,"YES"
"Scorpio","Metal",0.5,"NO"
"Virgo","Wood",0.5,"NO"
"Aries","Wood",0.75,"NO"
"Virgo","Water",0.75,"YES"
"Aries","Fire",0,"NO"
"Gemini","Wood",0.25,"NO"
"Scorpio","Water",0.5,"NO"
"Scorpio","Water",0.25,"YES"
"Sagittarius","Fire",0,"YES"
"Taurus","Wood",0.25,"YES"
"Sagittarius","Earth",0.75,"YES"
"Taurus","Earth",0.5,"NO"
"Aquarius","Wood",0,"YES"
"Cancer","Earth",0.75,"YES"
"Leo","Fire",0.5,"YES"
"Aquarius","Metal",0,"NO"
"Leo","Water",0.75,"YES"
"Libra","Wood",0,"NO"
"Scorpio","Metal",1,"YES"
"Aquarius","Earth",0.75,"YES"
"Aquarius","Earth",0.5,"YES"
"Gemini","Fire",0.5,"YES"
"Aries","Wood",0.75,"NO"
"Taurus","Fire",0.25,"YES"
"Gemini","Metal",0.25,"NO"
"Aries","Water",0.25,"NO"
"Pisces","Metal",1,"YES"
"Gemini","Wood",0,"YES"
"Scorpio","Earth",0,"YES"
"Aquarius","Wood",0,"YES"
"Taurus","Fire",0.5,"YES"
"Aries","Fire",0.25,"YES"
"Pisces","Fire",0.5,"YES"
"Cancer","Metal",0.75,"YES"
"Taurus","Wood",0.5,"NO"
"Aries","Metal",0,"YES"
"Libra","Earth",0,"YES"
"Pisces","Earth",0.5,"YES"
"Scorpio","Water",0.25,"YES"
"Cancer","Metal",1,"YES"
"Sagittarius","Fire",0.25,"YES"
"Aquarius","Fire",0.5,"YES"
"Pisces","Water",0.5,"YES"
"Sagittarius","Fire",0,"YES"
"Gemini","Water",0.75,"YES"
"Scorpio","Water",0.75,"YES"
"Taurus","Earth",1,"YES"
"Aries","Water",0.75,"NO"
"Leo","Fire",0,"YES"
"Sagittarius","Water",0,"NO"
"Aquarius","Fire",0.5,"YES"
"Aquarius","Metal",0.5,"YES"
"Aries","Water",1,"NO"
"Scorpio","Fire",0.25,"YES"
"Pisces","Earth",0,"NO"
"Leo","Water",0.25,"NO"
"Leo","Wood",1,"YES"
"Pisces","Metal",0.5,"YES"
"Leo","Water",0,"YES"
"Sagittarius","Fire",0.25,"YES"
"Taurus","Fire",0.5,"YES"
"Aries","Wood",0.75,"NO"
"Taurus","Metal",0.75,"YES"
"Sagittarius","Water",0.25,"YES"
"Libra","Wood",0.25,"NO"
"Leo","Wood",0.75,"YES"
"Gemini","Water",0,"NO"
"Sagittarius","Water",0,"NO"
"Sagittarius","Metal",0.5,"YES"
"Sagittarius","Fire",0.25,"YES"
"Leo","Fire",0.5,"YES"
"Aries","Earth",0.75,"YES"
"Aries","Earth",0,"NO"
"Libra","Fire",0.75,"YES"
"Virgo","Earth",0.5,"NO"
"Aries","Fire",0.5,"YES"
"Scorpio","Wood",0.75,"YES"
"Cancer","Metal",1,"YES"
"Virgo","Metal",1,"YES"
"Capricorn","Water",0,"YES"
"Sagittarius","Fire",0.75,"YES"
"Pisces","Wood",0.25,"NO"
"Capricorn","Water",0.75,"YES"
"Gemini","Earth",1,"YES"
"Capricorn","Fire",0,"YES"
"Gemini","Wood",0.75,"YES"
"Leo","Fire",0.5,"YES"
"Gemini","Fire",0,"YES"
"Capricorn","Earth",1,"YES"
"Virgo","Metal",0.5,"YES"
"Aries","Wood",0.5,"YES"
"Cancer","Fire",0.25,"YES"
"Scorpio","Fire",0.25,"YES"
"Scorpio","Wood",0.25,"YES"
"Sagittarius","Water",0.75,"YES"
"Capricorn","Wood",0.25,"NO"
"Cancer","Water",0.75,"YES"
"Aquarius","Metal",0.75,"YES"
"Leo","Water",0.5,"YES"
"Sagittarius","Metal",0.5,"YES"
"Capricorn","Metal",0.5,"NO"
"Pisces","Water",0.25,"YES"
"Gemini","Water",0.25,"YES"
"Scorpio","Water",0.5,"NO"
"Cancer","Water",0,"NO"
"Virgo","Metal",0.5,"NO"
"Pisces","Water",1,"YES"
"Gemini","Water",0.75,"YES"
"Virgo","Water",0.75,"YES"
"Cancer","Metal",0.75,"YES"
"Aries","Earth",1,"NO"
"Gemini","Earth",0,"YES"
"Virgo","Wood",0,"NO"
"Taurus","Water",0.5,"YES"
"Leo","Fire",0.25,"YES"
"Taurus","Earth",0.25,"YES"
"Aries","Earth",0,"NO"
"Scorpio","Wood",0.5,"NO"
"Leo","Water",0.25,"YES"
"Pisces","Water",0.75,"YES"
"Libra","Fire",1,"YES"
"Aquarius","Fire",1,"YES"
"Sagittarius","Water",1,"YES"
"Virgo","Metal",0,"NO"
"Pisces","Water",0,"NO"
"Pisces","Wood",1,"YES"
"Libra","Fire",0.5,"YES"
"Sagittarius","Wood",0.5,"YES"
"Virgo","Fire",0,"YES"
"Capricorn","Metal",0.25,"NO"
"Sagittarius","Earth",0.5,"YES"
"Libra","Earth",0.75,"YES"
"Aries","Water",0.5,"NO"
"Taurus","Earth",0,"YES"
"Sagittarius","Fire",0.25,"YES"
"Aries","Metal",0.5,"NO"
"Sagittarius","Metal",1,"YES"
"Leo","Fire",0.75,"YES"
"Aries","Wood",0.5,"NO"
"Gemini","Earth",1,"YES"
"Cancer","Earth",0.5,"NO"
"Sagittarius","Earth",0.25,"YES"
"Aries","Earth",0.75,"NO"
"Aries","Fire",0.5,"NO"
"Leo","Earth",0.5,"NO"
"Libra","Fire",0.25,"YES"
"Capricorn","Metal",1,"YES"
"Virgo","Metal",1,"YES"
"Libra","Earth",1,"YES"
"Virgo","Metal",0.5,"YES"
"Pisces","Water",0.5,"NO"
"Scorpio","Metal",0,"YES"
"Taurus","Fire",0,"YES"
"Leo","Water",1,"YES"
"Pisces","Fire",0.5,"YES"
"Scorpio","Water",1,"YES"
"Sagittarius","Fire",0.75,"YES"
"Aquarius","Metal",0.75,"YES"
"Cancer","Metal",0.5,"YES"
"Taurus","Water",1,"YES"
"Leo","Wood",0.25,"YES"
"Aquarius","Fire",0.75,"YES"
"Cancer","Water",0.5,"NO"
"Capricorn","Earth",0.75,"YES"
"Gemini","Fire",0.75,"YES"
"Taurus","Earth",0.5,"NO"
"Sagittarius","Earth",0,"NO"
"Capricorn","Metal",0.75,"YES"
"Sagittarius","Metal",0,"NO"
"Aquarius","Metal",0,"YES"
"Libra","Wood",1,"YES"
"Pisces","Wood",0.75,"YES"
"Aquarius","Fire",0.5,"YES"
"Aries","Fire",0.25,"NO"
"Capricorn","Wood",0,"YES"
"Sagittarius","Fire",1,"YES"
"Cancer","Wood",0.25,"YES"
"Aquarius","Water",0,"NO"
"Taurus","Water",0.75,"YES"
"Aries","Fire",0.75,"NO"
"Leo","Fire",0.5,"YES"
"Libra","Metal",1,"YES"
"Taurus","Water",1,"YES"
"Gemini","Earth",0,"NO"
"Libra","Fire",0.5,"YES"
"Capricorn","Earth",0.75,"YES"
"Scorpio","Water",0.5,"YES"
"Pisces","Wood",0.25,"NO"
"Scorpio","Water",0.5,"NO"
"Virgo","Earth",0.5,"YES"
"Sagittarius","Water",0.25,"YES"
"Leo","Fire",0.25,"YES"
"Scorpio","Earth",1,"YES"
"Aries","Water",0,"NO"
"Cancer","Fire",0.75,"YES"
"Aquarius","Wood",1,"YES"
"Aquarius","Metal",0.5,"YES"
"Aries","Metal",0,"NO"
"Aries","Wood",0.5,"YES"
"Capricorn","Water",0.75,"YES"
"Gemini","Metal",0.5,"NO"
"Scorpio","Earth",0.25,"NO"
"Sagittarius","Fire",0.75,"YES"
"Capricorn","Metal",0.75,"YES"
"Virgo","Water",0.25,"NO"
"Capricorn","Water",0.25,"NO"
"Capricorn","Metal",0.5,"NO"
"Sagittarius","Wood",0.25,"NO"
"Leo","Metal",1,"YES"
"Sagittarius","Water",0.5,"YES"
"Aries","Earth",0.5,"YES"
"Leo","Water",0.75,"YES"
"Leo","Metal",0,"NO"
"Aries","Fire",0.25,"YES"
"Gemini","Fire",0.5,"YES"
"Aries","Water",0.25,"NO"
"Aquarius","Earth",0,"YES"
"Leo","Fire",0.75,"YES"
"Scorpio","Metal",0.5,"NO"
"Capricorn","Water",0.75,"YES"
"Taurus","Water",0.75,"YES"
"Cancer","Earth",0,"YES"
"Capricorn","Water",0.25,"YES"
"Cancer","Wood",0.5,"NO"
"Aquarius","Earth",1,"YES"
"Leo","Metal",0.25,"NO"
"Libra","Water",0.75,"YES"
"Aries","Earth",0.25,"NO"
"Sagittarius","Metal",0.5,"NO"
"Pisces","Water",0.5,"NO"
"Taurus","Wood",0.5,"NO"
"Cancer","Water",1,"YES"
"Aquarius","Water",1,"YES"
"Gemini","Wood",0.25,"NO"
"Pisces","Earth",1,"YES"
"Libra","Earth",0.25,"YES"
"Scorpio","Water",0.75,"YES"
"Pisces","Water",0.75,"YES"
"Pisces","Wood",0,"NO"
"Pisces","Earth",0.75,"YES"
"Aquarius","Metal",0.75,"YES"
"Cancer","Water",0.25,"YES"
"Leo","Earth",1,"YES"
"Libra","Fire",0.5,"YES"
"Gemini","Water",0.75,"YES"
"Taurus","Wood",0.5,"YES"
"Sagittarius","Water",1,"YES"
"Pisces","Fire",0.75,"YES"
"Libra","Earth",1,"YES"
"Pisces","Fire",0.25,"YES"
"Libra","Fire",0,"YES"
"Leo","Earth",0.75,"YES"
"Cancer","Earth",0.5,"YES"
"Gemini","Wood",0.5,"NO"
"Taurus","Water",0.5,"NO"
"Taurus","Wood",0.25,"YES"
"Leo","Wood",0.25,"YES"
"Cancer","Fire",0.25,"YES"
"Libra","Fire",0.75,"YES"
"Leo","Metal",0.25,"YES"
"Pisces","Water",0.5,"NO"
"Aries","Earth",0,"NO"
"Taurus","Metal",0.75,"YES"
"Leo","Water",0,"YES"
"Sagittarius","Earth",0.75,"YES"
"Taurus","Fire",0.5,"YES"
"Leo","Fire",0.25,"YES"
"Gemini","Earth",0.5,"YES"
"Libra","Earth",1,"YES"
"Gemini","Metal",1,"YES"
"Aries","Fire",0.25,"NO"
"Capricorn","Earth",0.75,"YES"
"Leo","Earth",0,"YES"
"Libra","Water",0.75,"YES"
"Libra","Water",1,"YES"
"Scorpio","Metal",0.75,"YES"
"Libra","Water",0.5,"NO"
"Scorpio","Wood",0.5,"YES"
"Taurus","Wood",0.75,"YES"
"Pisces","Metal",0.25,"YES"
"Gemini","Metal",0.25,"NO"
"Virgo","Metal",1,"YES"
"Aquarius","Water",1,"YES"
"Aries","Wood",0.75,"YES"
"Aries","Earth",0,"NO"
"Aquarius","Wood",0.25,"YES"
"Capricorn","Earth",0.25,"YES"
"Aquarius","Wood",0,"YES"
"Leo","Earth",0.5,"NO"
"Taurus","Water",0.75,"YES"
"Sagittarius","Wood",0.5,"NO"
"Libra","Metal",0.75,"YES"
"Scorpio","Metal",0.5,"YES"
"Taurus","Fire",0.5,"YES"
"Libra","Water",0.75,"YES"
"Aries","Wood",0,"NO"
"Cancer","Earth",0.25,"YES"
"Scorpio","Metal",0.25,"NO"
"Taurus","Metal",1,"YES"
"Virgo","Earth",0.75,"YES"
"Pisces","Water",0.75,"YES"
"Capricorn","Earth",0,"YES"
"Capricorn","Water",0,"YES"
"Pisces","Water",1,"YES"
"Leo","Wood",0,"YES"
"Capricorn","Wood",0.5,"NO"
"Aries","Earth",1,"NO"
"Capricorn","Water",0,"YES"
"Sagittarius","Water",0.25,"NO"
"Pisces","Water",0,"NO"
"Aquarius","Wood",0,"YES"
"Virgo","Water",0.25,"NO"
"Aries","Fire",0,"NO"
"Capricorn","Fire",1,"YES"
"Pisces","Earth",0.5,"YES"
"Aquarius","Wood",0.75,"YES"
"Capricorn","Earth",1,"YES"
"Leo","Metal",0.75,"YES"
"Gemini","Metal",0,"NO"
"Capricorn","Metal",0.5,"YES"
"Cancer","Wood",0.5,"NO"
"Leo","Metal",1,"YES"
"Virgo","Wood",0.75,"YES"
"Leo","Fire",0.5,"YES"
"Pisces","Metal",1,"YES"
"Libra","Wood",1,"YES"
"Aquarius","Water",0.5,"NO"
"Pisces","Wood",0.25,"NO"
"Aries","Earth",0.5,"NO"
"Virgo","Wood",0.25,"YES"
"Gemini","Metal",0.5,"YES"
"Gemini","Earth",1,"YES"
"Capricorn","Earth",0.75,"YES"
"Taurus","Wood",1,"YES"
"Sagittarius","Earth",1,"YES"
"Gemini","Earth",0.5,"YES"
"Sagittarius","Metal",0,"NO"
"Cancer","Wood",0.75,"YES"
"Cancer","Earth",0.25,"YES"
"Libra","Earth",0.25,"NO"
"Leo","Water",0,"NO"
"Virgo","Fire",0.25,"YES"
"Leo","Fire",0.5,"YES"
"Libra","Wood",0.25,"YES"
"Scorpio","Water",0,"NO"
"Virgo","Wood",0.75,"YES"
"Cancer","Earth",0,"YES"
"Taurus","Fire",0,"YES"
"Taurus","Fire",0.75,"YES"
"Virgo","Water",0.5,"YES"
"Scorpio","Earth",0,"NO"
"Aquarius","Earth",0.25,"NO"
"Virgo","Wood",0.75,"YES"
"Cancer","Wood",0.5,"NO"
"Gemini","Metal",0.75,"YES"
"Scorpio","Metal",0.5,"YES"
"Aquarius","Wood",0,"NO"
"Aquarius","Fire",0,"YES"
"Scorpio","Fire",0.75,"YES"
"Taurus","Wood",0.5,"YES"
"Sagittarius","Earth",0,"NO"
"Cancer","Fire",0.25,"YES"
"Scorpio","Fire",0.5,"YES"
"Pisces","Fire",0.25,"YES"
"Cancer","Metal",0,"NO"
"Aries","Water",0.25,"NO"
"Sagittarius","Metal",0.5,"YES"
"Taurus","Water",0.25,"YES"
"Virgo","Wood",0.5,"YES"
"Leo","Earth",0.75,"YES"
